S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12659.0,SRINAGAR RTO,JK01E8966,27-Jun-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,02-Dec-99,02-Dec-20,01-Dec-22,WESTERN AREA OF SRINAGAR CITY,,Soura ,Qamarwari,Eidgah,Ordinary Service,2001-2002,1999-2000,DIESEL,,
12668.0,SRINAGAR RTO,JK01E9942,17-Aug-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,23-May-00,23-May-22,22-May-24,WESTERN AREA OF SRINAGAR CITY,,Soura,SMHS,Jehangir Chowk,Express Service,2001-2002,2000-2001,DIESEL,,
12669.0,SRINAGAR RTO,JK01E9956,18-Aug-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Aug-99,23-May-19,22-May-20,WESTERN AREA OF SGR ROTATION BASIS,,SafaKadal ,Jehangir Chowk,Karanangar,Ordinary Service,2001-2002,1999-2000,DIESEL,,
12670.0,SRINAGAR RTO,JK01F0116,25-Aug-01,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MEDIUM BUSES,15-Feb-83,14-Feb-20,13-Feb-21,EASTERN AREA OF SGR ROTATION BASIS,,SafaKadal ,Jehangir Chowk,Karanangar,Ordinary Service,2001-2002,1982-1983,DIESEL,,
12671.0,SRINAGAR RTO,JK01F0135,25-Aug-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-May-85,09-May-20,08-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Qamarwari,PathaChowk,Dalgate,Ordinary Service,2001-2002,1985-1986,DIESEL,,
12672.0,SRINAGAR RTO,JK01F0243,29-Aug-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,24-Jun-88,23-Jun-19,23-Jun-20,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,Karanangar,,2001-2002,1988-1989,DIESEL,,
12675.0,SRINAGAR RTO,JK01F0391,03-Sep-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Jul-97,03-Jul-18,02-Jul-19,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Dalgate,Express Service,2001-2002,1997-1998,DIESEL,,
12676.0,SRINAGAR RTO,JK01F1295,08-Oct-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,08-Jul-02,08-Jul-19,07-Jul-20,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,Karanangar,Express Service,2001-2002,2002-2003,DIESEL,,
12677.0,SRINAGAR RTO,JK01F1299,09-Oct-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-May-89,11-May-18,10-May-19,EASTERN AREA OF SGR ROTATION BASIS,,Lalbazar ,LD,Lalchowk,Express Service,2001-2002,1989-1990,DIESEL,,
12679.0,SRINAGAR RTO,JK01F1490,22-Oct-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Mar-86,31-Mar-19,30-Mar-20,WESTERN AREA OF SRINAGAR CITY,,Qamarwari,Dalgate,Khanyar,Express Service,2001-2002,1985-1986,DIESEL,,
