S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
8277,KULGAM ARTO,JK187159,14-Oct-13,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,13-Nov-13,13-Nov-21,12-Nov-23,,NA,Kulgam   ,D. H Pora,,Ordinary Service,2013-2014,2013-2014,DIESEL,NON HAZARDOUS::OTHER::PASENGERS
8278,KULGAM ARTO,JK187677,24-Jan-14,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Mar-15,27-Mar-15,26-Mar-16,,NA,,,NA,Ordinary Service,2013-2014,2014-2015,DIESEL,PASSENGERS
8279,KULGAM ARTO,JK189144,20-Oct-14,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Jan-24,29-Jan-24,28-Jan-29,with in 15 km,NA,,,NA,,2014-2015,2023-2024,DIESEL,
8280,KULGAM ARTO,JK189825,18-Mar-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,18-Mar-16,19-Mar-21,18-Mar-24,EASTERN AREA OF KASHMIR PROVINCE,NA,,,NA,Rural Service,2014-2015,2015-2016,DIESEL,NON HAZARDOUS::OTHER::ONLY
8281,KULGAM ARTO,JK18D1204,22-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Jun-24,28-Jun-24,27-Jun-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8282,KULGAM ARTO,JK18D1206,22-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Sep-24,12-Sep-24,11-Sep-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8283,KULGAM ARTO,JK18D1240,22-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8284,KULGAM ARTO,JK18D1242,22-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8285,KULGAM ARTO,JK18D1277,21-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-May-24,29-May-24,28-May-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8286,KULGAM ARTO,JK18D1279,21-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8287,KULGAM ARTO,JK18D1286,17-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Nov-24,09-Nov-24,08-Nov-29,,NA,WITHIN,15KM,INSIDE,Express Service,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8288,KULGAM ARTO,JK18D1300,21-Mar-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,,NA,WITHIN,15KM,INSIDE,NA,2022-2023,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8289,KULGAM ARTO,JK18D1436,06-Apr-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Sep-24,24-Sep-24,23-Sep-29,,NA,WITHIN,15KM,INSIDE,Rural Service,2023-2024,2024-2025,DIESEL,NON HAZARDOUS::OTHER::ONLY
8290,KULGAM ARTO,JK18D2047,01-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8291,KULGAM ARTO,JK18D2104,13-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Jul-24,03-Jul-24,02-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8292,KULGAM ARTO,JK18D2229,27-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Aug-25,18-Aug-25,17-Aug-30,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2025-2026,PETROL,
8293,KULGAM ARTO,JK18D2276,26-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Sep-24,02-Sep-24,01-Sep-29,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8294,KULGAM ARTO,JK18D2294,27-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Jul-24,04-Jul-24,03-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8295,KULGAM ARTO,JK18D2322,27-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Jul-24,08-Jul-24,07-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8296,KULGAM ARTO,JK18D2355,27-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jun-24,10-Jun-24,09-Jun-29,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8297,KULGAM ARTO,JK18D2371,27-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8298,KULGAM ARTO,JK18D2404,07-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Apr-25,21-Apr-25,20-Apr-30,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2025-2026,PETROL,
8299,KULGAM ARTO,JK18D2414,08-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8300,KULGAM ARTO,JK18D2425,08-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-May-25,19-May-25,18-May-30,with in 15 km,NA,,,NA,NA,2023-2024,2025-2026,PETROL,
8301,KULGAM ARTO,JK18D2463,08-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Sep-24,12-Sep-24,11-Sep-29,All J and K,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8302,KULGAM ARTO,JK18D2475,07-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jun-24,10-Jun-24,09-Jun-29,,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8303,KULGAM ARTO,JK18D2481,08-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8304,KULGAM ARTO,JK18D2491,08-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Jun-24,21-Jun-24,20-Jun-29,,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8305,KULGAM ARTO,JK18D2500,08-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-24,18-May-24,17-May-29,,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8306,KULGAM ARTO,JK18D2530,12-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Jun-24,06-Jun-24,05-Jun-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8307,KULGAM ARTO,JK18D2545,15-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Nov-24,12-Nov-24,11-Nov-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8308,KULGAM ARTO,JK18D2632,24-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Jul-24,18-Jul-24,17-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8309,KULGAM ARTO,JK18D2663,22-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Sep-24,25-Sep-24,24-Sep-29,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8310,KULGAM ARTO,JK18D2674,21-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jun-24,10-Jun-24,09-Jun-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8311,KULGAM ARTO,JK18D2753,26-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Jun-25,19-Jun-25,18-Jun-30,,NA,Kulgam   ,Katrasoo,Khee jogipora,NA,2023-2024,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8312,KULGAM ARTO,JK18D2780,25-Jul-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Nov-24,07-Nov-24,06-Nov-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8313,KULGAM ARTO,JK18D2863,17-Aug-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Oct-24,24-Oct-24,23-Oct-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8314,KULGAM ARTO,JK18D2984,24-Aug-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jan-25,10-Jan-25,09-Jan-30,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8315,KULGAM ARTO,JK18D2994,24-Aug-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Jan-26,15-Jan-26,14-Jan-31,POLYTECHNIC COLLEGE  TO MIRBAZAR VIA ARRIGUTNOO,NA,WITHIN,15KM,INSIDE,NA,2023-2024,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8316,KULGAM ARTO,JK18D3401,11-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-May-25,09-May-25,08-May-30,with in 15 km,NA,,,NA,NA,2023-2024,2025-2026,PETROL,
8317,KULGAM ARTO,JK18D3405,09-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-24,29-Aug-24,28-Aug-29,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8318,KULGAM ARTO,JK18D3414,09-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Feb-26,12-Feb-26,11-Feb-31,LAROO TO MIRBAZAR VIA KILAM,NA,,,NA,NA,2023-2024,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8319,KULGAM ARTO,JK18D3439,11-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jan-25,11-Jan-25,10-Jan-30,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8320,KULGAM ARTO,JK18D3458,09-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Dec-24,12-Dec-24,11-Dec-29,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8321,KULGAM ARTO,JK18D3462,09-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-May-25,07-May-25,06-May-30,with in 15 km,NA,,,NA,NA,2023-2024,2025-2026,PETROL,
8322,KULGAM ARTO,JK18D3477,09-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-24,29-Aug-24,28-Aug-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8323,KULGAM ARTO,JK18D3499,09-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-May-24,12-May-24,11-May-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8324,KULGAM ARTO,JK18D3536,13-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Mar-24,23-Mar-24,22-Mar-29,with in 15 km,NA,,,NA,NA,2023-2024,2023-2024,PETROL,
8325,KULGAM ARTO,JK18D3549,13-Oct-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Jul-24,04-Jul-24,03-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,PASSANGERS
8326,KULGAM ARTO,JK18D3602,04-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Mar-25,26-Mar-25,25-Mar-30,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,PASSENGER
8327,KULGAM ARTO,JK18D3612,01-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Jul-24,03-Jul-24,02-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8328,KULGAM ARTO,JK18D3616,02-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Dec-24,06-Dec-24,05-Dec-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8329,KULGAM ARTO,JK18D3657,02-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Jul-24,02-Jul-24,01-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8330,KULGAM ARTO,JK18D3684,02-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Jul-24,04-Jul-24,03-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,PASSANGERS
8331,KULGAM ARTO,JK18D3724,10-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-May-25,17-May-25,16-May-30,with in 15 km,NA,,,NA,NA,2023-2024,2025-2026,PETROL,
8332,KULGAM ARTO,JK18D3755,17-Nov-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-24,02-May-24,01-May-29,WITHIN DISTRICT,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8333,KULGAM ARTO,JK18D3916,13-Dec-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jan-25,10-Jan-25,09-Jan-30,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8334,KULGAM ARTO,JK18D4615,23-Mar-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-May-24,16-May-24,15-May-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8335,KULGAM ARTO,JK18D4651,23-Mar-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Sep-24,12-Sep-24,11-Sep-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8336,KULGAM ARTO,JK18D4676,23-Mar-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jul-24,11-Jul-24,10-Jul-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8337,KULGAM ARTO,JK18D4754,25-Mar-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Nov-24,09-Nov-24,08-Nov-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8338,KULGAM ARTO,JK18D4794,25-Mar-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Nov-24,05-Nov-24,04-Nov-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8339,KULGAM ARTO,JK18D4796,29-Mar-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Oct-24,24-Oct-24,23-Oct-29,with in 15 km,NA,,,NA,NA,2023-2024,2024-2025,PETROL,
8340,KULGAM ARTO,JK18D4892,03-Apr-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Jul-25,25-Jul-25,24-Jul-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8341,KULGAM ARTO,JK18D5141,25-Apr-24,3WT,Commercial,Three Wheeler (Passenger),Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Jun-24,27-Jun-24,26-Jun-29,within 3 Km radius,NA,,,NA,,2024-2025,2024-2025,DIESEL,PASSENGER
8342,KULGAM ARTO,JK18D5520,07-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Jan-26,08-Jan-26,07-Jan-31,LAROO TO WANPOH VIA BOGUND,NA,,,NA,Ordinary Service,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8343,KULGAM ARTO,JK18D5524,06-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Jun-24,28-Jun-24,27-Jun-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8344,KULGAM ARTO,JK18D5530,07-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-24,16-Jun-24,15-Jun-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8345,KULGAM ARTO,JK18D5531,06-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jan-25,10-Jan-25,09-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,PASSENGER
8346,KULGAM ARTO,JK18D5537,07-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Jun-24,21-Jun-24,20-Jun-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8347,KULGAM ARTO,JK18D5553,06-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Mar-25,25-Mar-25,24-Mar-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8348,KULGAM ARTO,JK18D5563,06-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Sep-24,12-Sep-24,11-Sep-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8349,KULGAM ARTO,JK18D5569,06-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Apr-25,12-Apr-25,11-Apr-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8350,KULGAM ARTO,JK18D5570,07-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Aug-25,25-Aug-25,24-Aug-30,LAROO KULGAM TO KADDER VIA PARIGAM,NA,Kulgam   ,Kadder,Bulsoo,NA,2024-2025,2025-2026,PETROL,
8351,KULGAM ARTO,JK18D5579,06-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Aug-24,27-Aug-24,26-Aug-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8352,KULGAM ARTO,JK18D5581,07-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-24,16-Jun-24,15-Jun-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8353,KULGAM ARTO,JK18D5653,11-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Apr-25,12-Apr-25,11-Apr-30,KULGAM TO NEHAMA,NA,,,NA,NA,2024-2025,2025-2026,PETROL,PASSENGRES
8354,KULGAM ARTO,JK18D5696,15-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Aug-24,27-Aug-24,26-Aug-29,with in 15 km,NA,,,NA,,2024-2025,2024-2025,PETROL,
8355,KULGAM ARTO,JK18D5711,19-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Jan-25,14-Jan-25,13-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8356,KULGAM ARTO,JK18D5747,20-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Sep-24,10-Sep-24,09-Sep-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8357,KULGAM ARTO,JK18D5770,19-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Sep-24,12-Sep-24,11-Sep-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8358,KULGAM ARTO,JK18D5775,20-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Nov-24,09-Nov-24,08-Nov-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8359,KULGAM ARTO,JK18D5796,26-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Mar-25,26-Mar-25,25-Mar-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8360,KULGAM ARTO,JK18D5820,29-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Jul-25,29-Jul-25,28-Jul-30,LAROO TO MIRBAZAR VIA KILAM,NA,,,NA,Ordinary Service,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8361,KULGAM ARTO,JK18D5831,29-Jun-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Jan-25,14-Jan-25,13-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8362,KULGAM ARTO,JK18D5877,02-Jul-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Dec-24,16-Dec-24,15-Dec-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8363,KULGAM ARTO,JK18D6036,10-Jul-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Sep-24,10-Sep-24,09-Sep-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8364,KULGAM ARTO,JK18D6098,10-Jul-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-24,29-Aug-24,28-Aug-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8365,KULGAM ARTO,JK18D6193,18-Jul-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Dec-24,12-Dec-24,11-Dec-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8366,KULGAM ARTO,JK18D6350,10-Aug-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Oct-24,28-Oct-24,27-Oct-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8367,KULGAM ARTO,JK18D6368,05-Aug-24,3WT,Commercial,Three Wheeler (Passenger),Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,24-Feb-25,24-Feb-25,23-Feb-30,WITHIN MUNCIPAL LIMITS,NA,,,NA,,2024-2025,2024-2025,DIESEL,
8368,KULGAM ARTO,JK18D6453,13-Aug-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jan-26,10-Jan-26,09-Jan-31,LAROO KULGAM TO ARREH VIA BYPASS,NA,,,NA,Rural Service,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8369,KULGAM ARTO,JK18D6455,13-Aug-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-May-25,26-May-25,25-May-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8370,KULGAM ARTO,JK18D6502,22-Aug-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Nov-24,28-Nov-24,27-Nov-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,PASSANGERS
8371,KULGAM ARTO,JK18D6530,21-Aug-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jan-25,11-Jan-25,10-Jan-30,WITHIN DISTRICT,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8372,KULGAM ARTO,JK18D6551,30-Aug-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Oct-24,19-Oct-24,18-Oct-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
