Name,Category,Importance,Latitude,Longitude,City/Town
"Govt. Higher Secondary School, Lethpora",School,Medium,33.9659258,74.9592501,Greater Kashmir Region
MTI (Boys Wing),School,Medium,33.9471815,75.1334066,Greater Kashmir Region
Govt. Boys Higher Secondary School,School,Medium,33.9444172,75.1305075,Greater Kashmir Region
Foundation World School (Kindergarten),School,Medium,34.0199029,74.7742482,Budgam
Rainbow international school,School,Medium,34.00513,74.7827807,Budgam
Delhi Public School Budgam (DPS),School,Medium,34.0200392,74.7473143,Greater Kashmir Region
Kite Highlands School,School,Medium,34.0139858,74.7838254,Greater Kashmir Region
Foundation World School (Main),School,Medium,34.000131,74.7168612,Greater Kashmir Region
Govt. Middle School,School,Medium,33.9178766,74.9422948,Ratnipora
Little Angels School,School,Medium,33.9386776,75.1137896,Greater Kashmir Region
Fayaz Educational Institute,School,Medium,34.0351008,74.8180287,Srinagar
Saint Luke's Convent School,School,Medium,33.7385524,75.1636717,Anantnag
Higher Secondary School Devsar,School,Medium,33.6332319,75.079304,Greater Kashmir Region
Al-Mustaqeem International School,School,Medium,34.0337845,74.7908186,Greater Kashmir Region
Oasis Secondary School,School,Medium,34.0233368,74.8197637,Srinagar
Shining Star School,School,Medium,34.0134154,74.8145848,Srinagar
Cambridge Mission School,School,Medium,34.0095292,74.8007117,Srinagar
"Sabir Abdullah School, Tral",School,Medium,33.9340815,75.1174304,Greater Kashmir Region
Saint Xain's Internation School,School,Medium,33.7384544,75.1608255,Anantnag
"Govt. Primary School, Nowdal",School,Medium,33.9181722,75.0784419,Tral
Govt. High School,School,Medium,33.9656019,74.9649224,Greater Kashmir Region
Iqra School,School,Medium,33.9611362,74.9677958,Greater Kashmir Region
Syed Jafar Memorial School,School,Medium,34.0132138,74.7995245,Greater Kashmir Region
Hunar the School of Creativity,School,Medium,34.0009557,74.8158066,Srinagar
"Government Model School, Fisherman Colony",School,Medium,34.1497356,74.8449823,Greater Kashmir Region
Alphabet International School,School,Medium,33.9369866,75.1198792,Tral
"Islamia Public High School, Kralpora",School,Medium,33.9980259,74.8090939,Srinagar
"Govt. High School, Narastan",School,Medium,34.055412,75.1007642,Tral
"Govt. Girls Higher Secondary School, Pulwama",School,Medium,33.8715643,74.901371,Greater Kashmir Region
"Modern Public High School, Dadsara",School,Medium,33.9019988,75.0867453,Tral
Candid Higher Secondary School,School,Medium,34.0286974,74.82483,Greater Kashmir Region
Aglow Public School,School,Medium,33.8935246,75.0698511,Greater Kashmir Region
Govt High School Kawoosa Khalisa,School,Medium,34.1038306,74.6487926,Greater Kashmir Region
Govt Middle School Kawoosa Khalisa,School,Medium,34.1037096,74.6477454,Greater Kashmir Region
Sheikh Ul Alam Public School Kawoosa Khalisa,School,Medium,34.1028969,74.6472724,Kawoosa Khalisa
Govt High School Aripanthan,School,Medium,34.0611573,74.576195,Greater Kashmir Region
Alfalah High School Aripanthan,School,Medium,34.0626761,74.5776155,Greater Kashmir Region
Hanefia Public School Kawoosa,School,Medium,34.1034745,74.6477436,Kawoosa Khalisa
Celestial Bud's High School Checki Kawoosa,School,Medium,34.1128269,74.6583547,Checki Kawoosa
KGBV Boarding School,School,Medium,33.9393971,75.1831976,Greater Kashmir Region
Al-Rasheed International School (The Fun House Playschool),School,Medium,33.9203139,75.0146693,Greater Kashmir Region
Govt Boy's Higher Secondary Magam,School,Medium,34.0928951,74.588175,MAGAM
Green View Public High School Magam,School,Medium,34.0925812,74.5847682,Greater Kashmir Region
R M P High School Magam,School,Medium,34.0939741,74.5820567,Greater Kashmir Region
Govt Girl's Higher Secondary Magam,School,Medium,34.0908746,74.5908852,MAGAM
Lucent International School Magam,School,Medium,34.0913878,74.5859896,Greater Kashmir Region
Holy Mission Public School,School,Medium,34.1173828,74.670089,NARBAL
Govt Middle School Mazhama,School,Medium,34.1019905,74.6237385,Greater Kashmir Region
Govt Primary School Mazhama,School,Medium,34.1005258,74.6193475,Greater Kashmir Region
Hanfia English Medium School Mazhama,School,Medium,34.10282,74.6279351,Mazhama
Govt High School Palpora,School,Medium,34.0514323,74.5481239,Greater Kashmir Region
Govt Primary School Aripanthan,School,Medium,34.057995,74.5762722,Greater Kashmir Region
ARISE School,School,Medium,34.0755981,74.5841109,Greater Kashmir Region
Muslim Institute Of Education,School,Medium,34.0781224,74.584604,Greater Kashmir Region
Kashmir Public School,School,Medium,34.0966999,74.6154345,Greater Kashmir Region
Darul-Uloom,School,Medium,34.0744586,74.5836308,Greater Kashmir Region
Govt Middle School,School,Medium,34.0776609,74.5903372,Greater Kashmir Region
Govt Girl's Higher Secondary School Narbal,School,Medium,34.1115965,74.6678862,Greater Kashmir Region
Govt Boy's High School Narbal,School,Medium,34.1154541,74.6637803,Greater Kashmir Region
"Govt. High School, Koil",School,Medium,33.87946,74.9526457,Greater Kashmir Region
Alamdar Public High School,School,Medium,33.878426,74.9541921,Greater Kashmir Region
"Govt. Girls Middle School, Koil",School,Medium,33.8754059,74.9495564,Greater Kashmir Region
"Dolphin International School, Pulwama",School,Medium,33.8694946,74.9217847,Pulwama
Army Goodwill School Boniyar,School,Medium,34.1458988,74.1922953,Greater Kashmir Region
Govt. Girls Middle School Boniyar,School,Medium,34.1329637,74.1803882,Greater Kashmir Region
New Child Care High School Boniyar,School,Medium,34.1318799,74.1789491,Greater Kashmir Region
Govt. Higher Secondary School Boniyar,School,Medium,34.1320874,74.1794964,Greater Kashmir Region
Govt. Middle School,School,Medium,34.0082028,74.7758474,Greater Kashmir Region
Govt. School,School,Medium,33.9565188,75.0693957,Greater Kashmir Region
Mehjoor Memorial Govt. Boys HSS Pulwama,School,Medium,33.8723071,74.8950873,Pulwama
New style abyass,Supermarket/Wholesale,Medium,34.100803,74.8119602,Greater Kashmir Region
Floating Market,Supermarket/Wholesale,Medium,34.0934471,74.8411443,Greater Kashmir Region
Gulmarg Supplies,Supermarket/Wholesale,Medium,34.0510823,74.3971312,Greater Kashmir Region
Khan Store,Supermarket/Wholesale,Medium,34.0201205,74.8046098,Greater Kashmir Region
Khourgali,Supermarket/Wholesale,Medium,33.1227771,75.0426734,Greater Kashmir Region
Daily Basket,Supermarket/Wholesale,Medium,34.0811933,74.8197665,Greater Kashmir Region
Wave Mart,Supermarket/Wholesale,Medium,34.0841226,74.8236686,Greater Kashmir Region
A Mart Shopping Hub,Supermarket/Wholesale,Medium,34.0818894,74.8205082,Greater Kashmir Region
Pick n Choose,Supermarket/Wholesale,Medium,34.0729305,74.8187688,Greater Kashmir Region
Cash and Carry Departmental Store,Supermarket/Wholesale,Medium,34.0625464,74.8155101,Greater Kashmir Region
7/11 Departmental Store,Supermarket/Wholesale,Medium,34.0290539,74.7977016,Greater Kashmir Region
Easy Pick Shop,Supermarket/Wholesale,Medium,34.0449526,74.8016498,Greater Kashmir Region
G.R and Sons,Supermarket/Wholesale,Medium,34.0405964,74.7996264,Greater Kashmir Region
Hop and Shop,Supermarket/Wholesale,Medium,34.066047,74.7804547,Greater Kashmir Region
City Mart,Supermarket/Wholesale,Medium,34.0972874,74.7721901,Greater Kashmir Region
Al-Banaat Hyper Market,Supermarket/Wholesale,Medium,34.0733155,74.7704814,Greater Kashmir Region
Wholesale Bazaar,Supermarket/Wholesale,Medium,34.0761795,74.7756818,Greater Kashmir Region
Daily Needs Departmental Store,Supermarket/Wholesale,Medium,34.0990744,74.7696568,Greater Kashmir Region
SM Traders,Supermarket/Wholesale,Medium,34.0587797,74.7866644,Greater Kashmir Region
Marhaba Departmental Store,Supermarket/Wholesale,Medium,34.089117,74.7786594,Greater Kashmir Region
Cherry Basket,Supermarket/Wholesale,Medium,34.0461449,74.8141197,Greater Kashmir Region
Wholesale Bazar,Supermarket/Wholesale,Medium,34.0130724,74.7993087,Greater Kashmir Region
Blooms Departmental Store,Supermarket/Wholesale,Medium,34.0160468,74.8100089,Greater Kashmir Region
Urban Mart,Supermarket/Wholesale,Medium,34.0202191,74.8096805,Greater Kashmir Region
Family Mart,Supermarket/Wholesale,Medium,34.0065774,74.7957292,Greater Kashmir Region
City Max Departmental Store,Supermarket/Wholesale,Medium,34.0314672,74.7816966,Greater Kashmir Region
Bhat Provisional Store,Supermarket/Wholesale,Medium,34.0299797,74.7803587,Greater Kashmir Region
Al-Madina Departmental Store,Supermarket/Wholesale,Medium,34.0191205,74.7981838,"Rawalpora, Srinagar"
Panun Bazar,Supermarket/Wholesale,Medium,34.0940694,74.8150369,Greater Kashmir Region
Reyaf Marriage Store,Supermarket/Wholesale,Medium,34.0189065,74.9148262,Greater Kashmir Region
Blueberries Departmental Store,Supermarket/Wholesale,Medium,34.0920415,74.8133271,Greater Kashmir Region
A&H Hyper Market,Supermarket/Wholesale,Medium,34.0157018,74.831262,Greater Kashmir Region
Saudah Salf Tuhund Panun Dukaan,Supermarket/Wholesale,Medium,34.0131996,74.8315669,Greater Kashmir Region
Downtown Supermarket,Supermarket/Wholesale,Medium,34.0974551,74.8124478,Greater Kashmir Region
K-Mart Departmental Store,Supermarket/Wholesale,Medium,34.0091272,74.8348385,Greater Kashmir Region
Nisar Enterprises,Supermarket/Wholesale,Medium,34.0192097,74.9145703,Greater Kashmir Region
Star Super Market,Supermarket/Wholesale,Medium,34.0486661,74.8658826,Greater Kashmir Region
D3 Super Mart,Supermarket/Wholesale,Medium,34.0952164,74.7934716,Greater Kashmir Region
Khaleel Stores,Supermarket/Wholesale,Medium,34.095196,74.7905527,Greater Kashmir Region
Niyamat Departmental Store,Supermarket/Wholesale,Medium,34.0873912,74.8032113,Greater Kashmir Region
New Raja Trading Company,Supermarket/Wholesale,Medium,34.0870943,74.8114291,Greater Kashmir Region
Balas Store,Supermarket/Wholesale,Medium,34.0895668,74.8010381,Greater Kashmir Region
The Balas Store,Supermarket/Wholesale,Medium,34.0868762,74.7952641,Greater Kashmir Region
Pack More Pay Less,Supermarket/Wholesale,Medium,34.0783843,74.8087236,Greater Kashmir Region
Manzoor and Co,Supermarket/Wholesale,Medium,34.0818113,74.8011453,Greater Kashmir Region
Karimore Supermarket,Supermarket/Wholesale,Medium,34.0785254,74.8135619,Greater Kashmir Region
RW Trading Company,Supermarket/Wholesale,Medium,34.0843467,74.7973116,Greater Kashmir Region
Best Buy Departmental Store,Supermarket/Wholesale,Medium,34.0948618,74.7916239,Greater Kashmir Region
Cash and Carry,Supermarket/Wholesale,Medium,34.0783613,74.8120356,Greater Kashmir Region
Mehboob Departmental Store,Supermarket/Wholesale,Medium,34.0770663,74.7984467,Greater Kashmir Region
Valley Agency Cosmetics Oriflame,Supermarket/Wholesale,Medium,34.0888976,74.8006738,Greater Kashmir Region
Kirmani's Store,Supermarket/Wholesale,Medium,34.0900319,74.7931528,Greater Kashmir Region
Pandit General Store,Supermarket/Wholesale,Medium,34.0889499,74.8014925,Greater Kashmir Region
Brothers Departmental Store,Supermarket/Wholesale,Medium,34.0923286,74.7920039,Greater Kashmir Region
Shah Store,Supermarket/Wholesale,Medium,34.118435,74.7956821,Greater Kashmir Region
Zahoor Provisional Store,Supermarket/Wholesale,Medium,34.1149009,74.7946836,Greater Kashmir Region
Sheikh Provisional Store,Supermarket/Wholesale,Medium,34.1114125,74.7942935,Greater Kashmir Region
City Bazar,Supermarket/Wholesale,Medium,34.1187709,74.7955493,Greater Kashmir Region
Daily Wholesale,Supermarket/Wholesale,Medium,34.1122995,74.8086693,Greater Kashmir Region
Boomerang,Supermarket/Wholesale,Medium,34.1222056,74.8065878,Greater Kashmir Region
Taiba Deaprtmental Store,Supermarket/Wholesale,Medium,34.1360311,74.8048655,Greater Kashmir Region
Swift Departmental Store,Supermarket/Wholesale,Medium,34.1279604,74.8058757,Greater Kashmir Region
Family Mart Departmental Store,Supermarket/Wholesale,Medium,34.1442656,74.8021622,Greater Kashmir Region
Twenty-20,Supermarket/Wholesale,Medium,34.1472394,74.8083935,Greater Kashmir Region
Ali Jaana Bazar 24x7,Supermarket/Wholesale,Medium,34.1804068,74.8081229,Greater Kashmir Region
20 Seven,Supermarket/Wholesale,Medium,34.1171049,74.8064075,Greater Kashmir Region
Al-Mass Departmental Stire,Supermarket/Wholesale,Medium,34.1500522,74.8021872,Greater Kashmir Region
Hindustan Unilever M/S Foods,Supermarket/Wholesale,Medium,34.1796425,74.8073368,Greater Kashmir Region
Lemon Tree Departmental Store,Supermarket/Wholesale,Medium,34.1524015,74.8082111,Greater Kashmir Region
Shifaaf Foods,Supermarket/Wholesale,Medium,34.1793963,74.8072329,Greater Kashmir Region
Asrar Departmental Store,Supermarket/Wholesale,Medium,34.1685454,74.8086304,Greater Kashmir Region
Asian Mart,Supermarket/Wholesale,Medium,34.191701,74.8073995,Greater Kashmir Region
Shah's The Super Market,Supermarket/Wholesale,Medium,34.1210058,74.8142308,Greater Kashmir Region
The Razaaq Departmental Store,Supermarket/Wholesale,Medium,34.1094932,74.8355577,Greater Kashmir Region
Great Deals,Supermarket/Wholesale,Medium,34.132977,74.8774987,Greater Kashmir Region
Food Store,Supermarket/Wholesale,Medium,34.1510888,74.8374084,Greater Kashmir Region
Weth Supermarket,Supermarket/Wholesale,Medium,34.1439027,74.8379287,Greater Kashmir Region
The Royal Bazar,Supermarket/Wholesale,Medium,34.0937485,74.8204308,Greater Kashmir Region
Life Mart Departmental Store,Supermarket/Wholesale,Medium,34.1465448,74.8337764,Greater Kashmir Region
Master Store,Supermarket/Wholesale,Medium,34.1548773,74.8403984,Greater Kashmir Region
Wani General Store,Supermarket/Wholesale,Medium,34.1425327,74.8310577,Greater Kashmir Region
SZ Departmental Store,Supermarket/Wholesale,Medium,34.0853987,74.8382533,Greater Kashmir Region
Family Mart,Supermarket/Wholesale,Medium,34.1195449,74.8357131,Greater Kashmir Region
Goodluck Departmental Store,Supermarket/Wholesale,Medium,34.1086059,74.835167,Greater Kashmir Region
Crossing Mart,Supermarket/Wholesale,Medium,34.1498588,74.8365253,Greater Kashmir Region
The Royal Store,Supermarket/Wholesale,Medium,34.0849425,74.8376153,Greater Kashmir Region
Beigh Store,Supermarket/Wholesale,Medium,34.1216989,74.8157132,Greater Kashmir Region
Tayyab Store,Supermarket/Wholesale,Medium,34.1517914,74.8380834,Greater Kashmir Region
Curio Mart,Supermarket/Wholesale,Medium,34.1198104,74.8357932,Greater Kashmir Region
Tariq P/S Departmental Store,Supermarket/Wholesale,Medium,34.1503196,74.8365552,Greater Kashmir Region
Fresh n Fine Departmental Store,Supermarket/Wholesale,Medium,34.1512002,74.8375066,Greater Kashmir Region
Super Bazaar,Supermarket/Wholesale,Medium,34.1466398,74.8719883,Greater Kashmir Region
Irfan Enterprises,Supermarket/Wholesale,Medium,34.1352328,74.8287757,Greater Kashmir Region
Asian Trade Lines,Supermarket/Wholesale,Medium,34.1297461,74.8316416,Greater Kashmir Region
Inco Foods,Supermarket/Wholesale,Medium,34.099077,74.8151271,Greater Kashmir Region
Black Bough Departmental Store,Supermarket/Wholesale,Medium,34.1348417,74.8261288,Greater Kashmir Region
S-mart,Supermarket/Wholesale,Medium,33.7251639,75.1565391,Greater Kashmir Region
Store,Supermarket/Wholesale,Medium,33.7282412,75.1532987,Greater Kashmir Region
Shop,Supermarket/Wholesale,Medium,33.1965595,74.8522677,Greater Kashmir Region
shop,Supermarket/Wholesale,Medium,33.2065608,74.8963281,Greater Kashmir Region
Muffins Store,Supermarket/Wholesale,Medium,34.1321956,74.8043487,Greater Kashmir Region
Vishal Mega Mart,Supermarket/Wholesale,Medium,34.0461963,74.7881397,Greater Kashmir Region
H2 Mart,Supermarket/Wholesale,Medium,33.9325595,75.1151376,Greater Kashmir Region
Rivaaj Trading Private Limited,Supermarket/Wholesale,Medium,33.7360846,75.1587331,Anantnag
Your Everyday Needs,Supermarket/Wholesale,Medium,34.0463085,74.8701135,Greater Kashmir Region
Roots Of Kashmir,Supermarket/Wholesale,Medium,34.1024345,74.8274876,Srinagar
RK FURNITURE WORKS,Supermarket/Wholesale,Medium,33.1533623,74.2428706,JAMMU
7Heven Supermarket,Supermarket/Wholesale,Medium,34.4188313,74.5974702,Patushay
abdur rahman and sons,Supermarket/Wholesale,Medium,34.2295632,74.7514134,Thuru
New Mart,Supermarket/Wholesale,Medium,33.7375653,75.1478615,Greater Kashmir Region
S3 Super Mart,Supermarket/Wholesale,Medium,33.9318615,75.1130196,Greater Kashmir Region
Daily Needs Mart,Supermarket/Wholesale,Medium,34.0256387,74.8214558,Srinagar
Pakerpora,Supermarket/Wholesale,Medium,33.8151851,74.764202,Greater Kashmir Region
Pakherpora,Supermarket/Wholesale,Medium,33.8151679,74.7641873,Greater Kashmir Region
Dayton Convenience Store,Supermarket/Wholesale,Medium,34.0890505,74.7705897,Greater Kashmir Region
