Name,Category,Importance,Latitude,Longitude,City/Town
Thyphoid Hospital,Major Hospital,High,33.724506,75.150894,Greater Kashmir Region
J and K Government Hospital,Major Hospital,High,33.59855,75.160769,Greater Kashmir Region
Life Care Hospital,Major Hospital,High,33.728516,75.150976,Anantnag
The SKJ Hospital,Major Hospital,High,33.74536,75.185577,Greater Kashmir Region
Rahmat-E-Aalam Hospital,Major Hospital,High,33.7390552,75.1671142,Greater Kashmir Region
Unani and Panchakarma Hospital,Major Hospital,High,33.7301769,75.1499883,Greater Kashmir Region
Jasco Nursing Home,Major Hospital,High,33.7391852,75.1736276,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.587769,75.299526,Greater Kashmir Region
Unani Hospital,Major Hospital,High,33.5869048,74.971943,Greater Kashmir Region
Government Hospital,Major Hospital,High,33.678216,75.107127,Greater Kashmir Region
Sub Hospital,Major Hospital,High,33.6499452,75.1617237,Greater Kashmir Region
Wani Hospital,Major Hospital,High,33.7055624,75.1534215,Greater Kashmir Region
Government Hospital,Major Hospital,High,33.736388,75.308932,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.724584,75.018185,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.7170278,74.8359984,Greater Kashmir Region
Government Medical College and Hospital,Major Hospital,High,33.141405,75.583129,Greater Kashmir Region
Unani Hospital,Major Hospital,High,33.6451809,75.0184153,Greater Kashmir Region
Civil Hospital,Major Hospital,High,34.0123308,75.317533,Greater Kashmir Region
Naina Hospital,Major Hospital,High,33.8195204,75.0627379,Greater Kashmir Region
Government PHC Bugam,Major Hospital,High,33.689356,75.02589,Greater Kashmir Region
Accidental Hospital,Major Hospital,High,33.118053,75.325842,Greater Kashmir Region
Government Hospital,Major Hospital,High,33.2626865,74.9981232,Greater Kashmir Region
Pir Panchal Hospital,Major Hospital,High,33.649069,74.256852,Greater Kashmir Region
TB Hospital,Major Hospital,High,33.7721615,74.0966586,Greater Kashmir Region
Government Accidental Hospital,Major Hospital,High,33.4395426,75.1979751,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.6361296,74.2644714,Greater Kashmir Region
Government Hospital,Major Hospital,High,33.694871,74.288009,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.79701,74.2550841,Greater Kashmir Region
Government Ayurvedic Hospital,Major Hospital,High,33.7472399,74.155278,Greater Kashmir Region
Government Sub District Hospital,Major Hospital,High,33.604677,74.140854,Greater Kashmir Region
SD Hospital Lar,Major Hospital,High,34.2596499,74.7509332,Greater Kashmir Region
CHC Hajan,Major Hospital,High,34.2915089,74.6197695,Hajan
Sharp Sight Eye Hospital,Major Hospital,High,34.0452095,74.8023416,Greater Kashmir Region
Aamina Hospital And Nursing Home,Major Hospital,High,34.0239584,74.813855,Greater Kashmir Region
Al-Ameen Charitable Hospital And Nursing Home,Major Hospital,High,34.0384116,74.7885798,Greater Kashmir Region
Unani amd Panchkarma Hospital,Major Hospital,High,34.0380941,74.8196561,Greater Kashmir Region
Kong Posh Hospital,Major Hospital,High,34.0276453,74.9099704,Pampore
