S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12900.0,SRINAGAR RTO,JK01J8421,06-May-06,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Feb-92,03-Feb-23,02-Feb-28,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Humhama,Jehangir Chowk,Ordinary Service,2006-2007,1991-1992,DIESEL,,
12913.0,SRINAGAR RTO,JK01K0487,11-Jul-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,01-Apr-01,01-Apr-25,31-Mar-30,WESTERN AREA OF SRINAGAR CITY,,Soura,Jehangir Chowk,SMHS,,2006-2007,2001-2002,DIESEL,,
12915.0,SRINAGAR RTO,JK01K0887,20-Jul-06,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Jan-93,10-Jan-23,09-Jan-28,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Ordinary Service,2006-2007,1992-1993,DIESEL,,
12917.0,SRINAGAR RTO,JK01K1258,27-Jul-06,MPV,Commercial,Omni Bus,Stage Carriage Permit,MEDIUM BUSES,31-Mar-91,31-Mar-23,30-Mar-28,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,,2006-2007,1990-1991,DIESEL,,
12919.0,SRINAGAR RTO,JK01K1929,19-Aug-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,26-Aug-97,26-Aug-23,25-Aug-28,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Humhama,Jehangir Chowk,Express Service,2006-2007,1997-1998,DIESEL,,
12920.0,SRINAGAR RTO,JK01K1932,19-Aug-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Jun-01,31-Mar-24,30-Mar-29,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2006-2007,2001-2002,DIESEL,,
12922.0,SRINAGAR RTO,JK01K2414,09-Sep-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-May-97,09-May-25,08-May-30,WESTERN AREA OF SRINAGAR CITY,,Soura,Jehangir Chowk,SMHS,,2006-2007,1997-1998,DIESEL,,
12937.0,SRINAGAR RTO,JK01K5087,10-Feb-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Feb-92,01-Feb-23,31-Jan-28,EASTERN AREA OF SGR ROTATION BASIS,,Rangpora,Soura,Lalchowk,Ordinary Service,2006-2007,1991-1992,DIESEL,,
12939.0,SRINAGAR RTO,JK01K5377,28-Feb-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,19-Feb-97,19-Feb-24,18-Feb-29,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2006-2007,1996-1997,DIESEL,,
12940.0,SRINAGAR RTO,JK01K5534,05-Mar-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,19-Feb-97,19-Feb-23,18-Feb-28,EASTERN AREA OF SGR ROTATION BASIS,,Rangpora,Soura,Lalchowk,Ordinary Service,2006-2007,1996-1997,DIESEL,,
12953.0,SRINAGAR RTO,JK01K6247,21-Apr-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Jan-04,10-May-23,09-May-28,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,,2007-2008,2003-2004,DIESEL,,
12960.0,SRINAGAR RTO,JK01K7141,22-May-07,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Feb-18,02-Feb-23,01-Feb-28,WITHIN SRINAGAR CITY,,Rangpora,Soura,Dalgate,Rural Service,2007-2008,2017-2018,DIESEL,,
12961.0,SRINAGAR RTO,JK01K7289,25-May-07,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,13-Oct-97,13-Oct-23,12-Oct-28,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,HMT,Parimpora,,2007-2008,1997-1998,DIESEL,,
12963.0,SRINAGAR RTO,JK01K7977,14-Jun-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,05-Oct-95,05-Oct-24,04-Oct-29,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Pampore,Dalgate,,2007-2008,1995-1996,DIESEL,,
