Route_Name,Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Via_Points_Raw,Via_Points_Geocoded,Vehicle_Category,Service_Type
,BATAMALLO,34.0692325,74.7917031,PANTHACHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,BATWARA,"34.0583908,74.8519874",MPV,Express Service
,SOURA,34.1378333,74.8021097,GANDERBAL,34.192763,74.7700157,BUCHPORA,"34.1508768,74.8031354",MPV,
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,LD,34.0668052,74.8080919,PAMPORE,34.01092,74.91303,DALGATE,"34.0816285,74.8268875",MPV,
,BATMALOO,34.078997,74.7942749,DALGATE,34.0816285,74.8268875,EASTERN AREA OF SRINAGAR CITY,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,BATWARA,"34.0583908,74.8519874",MPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,LALCHOWK,34.0712565,74.8104927,LD,"34.0668052,74.8080919",LPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",LPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",LPV,Ordinary Service
"Hazratbal, Lalbazar",PARIMPORA,34.0814091,74.7131047,RAJIAKADAL,34.0870943,74.8114291,,,LPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",LPV,Express Service
,BATAMALLO,34.0692325,74.7917031,PANTHACHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,LD,34.0668052,74.8080919,PAMPORE,34.01092,74.91303,DALGATE,"34.0816285,74.8268875",MPV,
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,JAWAHIRNAGAR,34.0606593,74.8117017,LD,"34.0668052,74.8080919",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",MPV,
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,HAZRATBAL,34.1272157,74.8356734,BUCHPORA,"34.1508768,74.8031354",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,HAZRATBAL,34.1272157,74.8356734,QAMARWARI,"34.0948927,74.766525",LPV,Express Service
,PARIMPORA,34.0814091,74.7131047,HUMHAMA,34.0209839,74.7711454,JEHANGIR CHOWK,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,HUMHAMA,34.0209839,74.7711454,JEHANGIR CHOWK,,LPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,HUMHAMA,34.0209839,74.7711454,JEHANGIR CHOWK,,MPV,Ordinary Service
,LD,34.0668052,74.8080919,PARIMPORA,34.0814091,74.7131047,JEHANGIR CHOWK,,MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,HUMHAMA,34.0209839,74.7711454,JEHANGIR CHOWK,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,HAZRATBAL,34.1272157,74.8356734,QAMARWARI,"34.0948927,74.766525",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,DALGATE,34.0816285,74.8268875,LALCHOWK,"34.0712565,74.8104927",LPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",LPV,Ordinary Service
