row,from,to,vehicle,reason
12917,,,LPV,blank_origin_and_destination
12920,,,HPV,blank_origin_and_destination
12921,Soura,Jehangir Chowk,LPV,ungeocoded: destination 'JEHANGIR CHOWK'
12922,Jehangir Chowk,Bemina,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12923,SOURA,CHUNTWALIWAR,MPV,ungeocoded: destination 'CHUNTWALIWAR'
12924,Jehangir Chowk,HMT,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12925,Jehangir Chowk,JVC,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12926,,,MPV,blank_origin_and_destination
12927,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
12928,HMT,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12930,,,MPV,blank_origin_and_destination
12932,,,MPV,blank_origin_and_destination
12933,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12935,,,MPV,blank_origin_and_destination
12941,,,HPV,blank_origin_and_destination
12942,,,HPV,blank_origin_and_destination
12943,,,HPV,blank_origin_and_destination
12944,,,HPV,blank_origin_and_destination
12945,,,HPV,blank_origin_and_destination
12946,,,LPV,blank_origin_and_destination
12949,Jehangir Chowk,Panzinara,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12953,,,HPV,blank_origin_and_destination
12955,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12956,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12957,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12960,Jehangir Chowk,HMT,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12964,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12967,,,MPV,blank_origin_and_destination
12969,,,MPV,blank_origin_and_destination
12972,Jehangir Chowk,Bemina,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12975,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12979,,,LPV,blank_origin_and_destination
12980,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12984,,,MPV,blank_origin_and_destination
12985,,,MPV,blank_origin_and_destination
12986,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12987,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12988,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12990,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12993,,,MPV,blank_origin_and_destination
12997,,,HPV,blank_origin_and_destination
12998,,,HPV,blank_origin_and_destination
12999,,,HPV,blank_origin_and_destination
13000,,,HPV,blank_origin_and_destination
13001,,,HPV,blank_origin_and_destination
13004,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13007,,,HPV,blank_origin_and_destination
13008,,,MPV,blank_origin_and_destination
13009,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
13012,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13016,,,HPV,blank_origin_and_destination
13017,,,MPV,blank_origin_and_destination
13018,,,HPV,blank_origin_and_destination
13019,,,LPV,blank_origin_and_destination
13021,,,MPV,blank_origin_and_destination
13023,Lawaypora,Jehangir Chowk,LPV,ungeocoded: destination 'JEHANGIR CHOWK'
13024,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
13027,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
13031,,,HPV,blank_origin_and_destination
13032,Jehangir Chowk,Bemina,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
13033,,,HPV,blank_origin_and_destination
13034,,,HPV,blank_origin_and_destination
13035,,,LPV,blank_origin_and_destination
13036,,,LPV,blank_origin_and_destination
13037,,,LPV,blank_origin_and_destination
13038,,,LPV,blank_origin_and_destination
13041,,,MPV,blank_origin_and_destination
13048,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13049,,,HPV,blank_origin_and_destination
13051,,,HPV,blank_origin_and_destination
13056,,,MPV,blank_origin_and_destination
13058,,,HPV,blank_origin_and_destination
13059,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
13062,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
13063,,,HPV,blank_origin_and_destination
13064,,,HPV,blank_origin_and_destination
13068,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13070,,,MPV,blank_origin_and_destination
13073,Jehangir Chowk,Panzinara,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
13077,,,HPV,blank_origin_and_destination
13081,,,HPV,blank_origin_and_destination
13084,,,HPV,blank_origin_and_destination
13087,,,MPV,blank_origin_and_destination
